symp_type_cat,tp,dp,wp,wr,wr_mean,wr_std,si_shape,si_beta_0_exponentiated,si_beta_wr
3,6.204420750497397,3.1630641670385176,6.633023339439888,6.55263936768077,12.149713373050606,2.116218607947531,2.3028596741731664,2.558915464086227,0.4399615055635713
2,-2.030748096916528,7.399489284774774,0.7107455552101054,38.403511108391385,14.022952029403083,0.37521917513372194,2.238139598412739,3.9365453312922414,0.14432199503488788
1,0.4402085393263524,7.217162437510317,0.741798057532761,9.941617348312501,13.751053447816854,1.0039733428501316,2.189415992800881,7.1895887694327305,0.6126644959879458
1,0.9782227660038114,5.997938176632097,15.79758184728197,8.995954325289285,11.482600345998852,1.9800937720174296,0.5264434166789742,7.554141761269349,0.04979525356894429
2,6.151210293194424,9.145173796599742,4.404285471506528,7.347357810074719,13.250025216652709,1.3878340189075895,0.9983501184461243,6.716746750556041,-1.546203580146347
2,1.7330279421204746,8.285443184988655,2.5853651609986184,9.42937796008658,13.75575071341198,1.1409154790829943,1.1620010371534175,6.714865789506733,0.8581134738275983
1,2.975086592717668,9.260087955808597,5.127189057091407,10.632774870880674,15.339755751842631,1.241713492086739,1.8393366362948504,7.980013806093956,0.4935845478357588
3,4.026607658819095,5.1169170644528545,3.4206836189896244,4.609317405567327,11.241595559645454,2.1894745344353073,2.378730542718536,1.4447959837098463,-0.18122335558643662
2,0.2080856094414429,4.012690354002111,4.342214056541452,16.98579195970987,13.764091087463505,3.2475494455167135,3.938441892843904,6.685088099295831,0.284575867768635
2,-0.48810700603308915,12.554031691297997,4.654338087569759,7.462926548497697,15.142297621605527,1.5775996476430956,3.1836607306665154,5.3612661132365265,0.2755282629419131
