id,time,gi_cdf
1,0,0
1,0.2,0
1,0.4,0
1,0.6,0
1,0.8,0
1,1,0
1,1.2,1.3e-4
1,1.4,4e-4
1,1.6,8.1e-4
1,1.8,0.00135
1,2,0.00202
1,2.2,0.00283
1,2.4,0.00378
1,2.6,0.00486
1,2.8,0.00608
1,3,0.00743
1,3.2,0.00892
1,3.4,0.01054
1,3.6,0.0123
1,3.8,0.01419
1,4,0.01622
1,4.2,0.01838
1,4.4,0.02068
1,4.6,0.02311
1,4.8,0.02568
1,5,0.02839
1,5.2,0.03122
1,5.4,0.0342
1,5.6,0.03731
1,5.8,0.04055
1,6,0.04393
1,6.2,0.04745
1,6.4,0.0511
1,6.6,0.05488
1,6.8,0.0588
1,7,0.06286
1,7.2,0.06705
1,7.4,0.07138
1,7.6,0.07584
1,7.8,0.08043
1,8,0.08517
1,8.2,0.09003
1,8.4,0.09503
1,8.6,0.10017
1,8.8,0.10544
1,9,0.11085
1,9.2,0.1164
1,9.4,0.12207
1,9.6,0.12789
1,9.8,0.13383
1,10,0.13992
1,10.2,0.14614
1,10.4,0.15249
1,10.6,0.15898
1,10.8,0.16561
1,11,0.17236
1,11.2,0.17926
1,11.4,0.18629
1,11.6,0.19345
1,11.8,0.20075
1,12,0.20819
1,12.2,0.21576
1,12.4,0.22347
1,12.6,0.23131
1,12.8,0.23928
1,13,0.2474
1,13.2,0.25564
1,13.4,0.26402
1,13.6,0.27254
1,13.8,0.28119
1,14,0.28998
1,14.2,0.2989
1,14.4,0.30796
1,14.6,0.31716
1,14.8,0.32648
1,15,0.33595
1,15.2,0.34555
1,15.4,0.35528
1,15.6,0.36515
1,15.8,0.37515
1,16,0.38529
1,16.2,0.39557
1,16.4,0.40598
1,16.6,0.41652
1,16.8,0.4272
1,17,0.43802
1,17.2,0.44897
1,17.4,0.46005
1,17.6,0.47127
1,17.8,0.48263
1,18,0.49412
1,18.2,0.50575
1,18.4,0.51751
1,18.6,0.52941
1,18.8,0.54144
1,19,0.55361
1,19.2,0.56591
1,19.4,0.57835
1,19.6,0.59092
1,19.8,0.60363
1,20,0.61647
1,20.2,0.62945
1,20.4,0.64256
1,20.6,0.65581
1,20.8,0.66919
1,21,0.68271
1,21.2,0.69637
1,21.4,0.71016
1,21.6,0.72408
1,21.8,0.73814
1,22,0.75234
1,22.2,0.76667
1,22.4,0.78113
1,22.6,0.79573
1,22.8,0.80991
1,23,0.82358
1,23.2,0.83674
1,23.4,0.84939
1,23.6,0.86152
1,23.8,0.87315
1,24,0.88427
1,24.2,0.89488
1,24.4,0.90498
1,24.6,0.91457
1,24.8,0.92365
1,25,0.93222
1,25.2,0.94028
1,25.4,0.94783
1,25.6,0.95487
1,25.8,0.9614
1,26,0.96742
1,26.2,0.97293
1,26.4,0.97793
1,26.6,0.98242
1,26.8,0.9864
1,27,0.98987
1,27.2,0.99284
1,27.4,0.99529
1,27.6,0.99723
1,27.8,0.99866
1,28,0.99958
1,28.2,1
1,28.4,1
1,28.6,1
1,28.8,1
1,29,1
1,29.2,1
1,29.4,1
1,29.6,1
1,29.8,1
1,30,1
1,30.2,1
1,30.4,1
1,30.6,1
1,30.8,1
1,31,1
1,31.2,1
1,31.4,1
1,31.6,1
1,31.8,1
1,32,1
1,32.2,1
1,32.4,1
1,32.6,1
1,32.8,1
1,33,1
1,33.2,1
1,33.4,1
1,33.6,1
1,33.8,1
1,34,1
1,34.2,1
1,34.4,1
1,34.6,1
1,34.8,1
1,35,1
1,35.2,1
1,35.4,1
1,35.6,1
1,35.8,1
1,36,1
1,36.2,1
1,36.4,1
1,36.6,1
1,36.8,1
1,37,1
1,37.2,1
1,37.4,1
1,37.6,1
1,37.8,1
1,38,1
1,38.2,1
1,38.4,1
1,38.6,1
1,38.8,1
1,39,1
1,39.2,1
1,39.4,1
1,39.6,1
1,39.8,1
1,40,1
2,0,0
2,0.2,0
2,0.4,0
2,0.6,0
2,0.8,0
2,1,0
2,1.2,0.00247
2,1.4,0.00743
2,1.6,0.01487
2,1.8,0.02479
2,2,0.03719
2,2.2,0.05207
2,2.4,0.06898
2,2.6,0.08574
2,2.8,0.10235
2,3,0.11881
2,3.2,0.13511
2,3.4,0.15127
2,3.6,0.16727
2,3.8,0.18312
2,4,0.19881
2,4.2,0.21435
2,4.4,0.22975
2,4.6,0.24498
2,4.8,0.26007
2,5,0.275
2,5.2,0.28979
2,5.4,0.30442
2,5.6,0.31889
2,5.8,0.33322
2,6,0.34739
2,6.2,0.36141
2,6.4,0.37528
2,6.6,0.389
2,6.8,0.40256
2,7,0.41597
2,7.2,0.42923
2,7.4,0.44234
2,7.6,0.45529
2,7.8,0.46809
2,8,0.48074
2,8.2,0.49324
2,8.4,0.50559
2,8.6,0.51778
2,8.8,0.52982
2,9,0.54171
2,9.2,0.55345
2,9.4,0.56503
2,9.6,0.57646
2,9.8,0.58774
2,10,0.59887
2,10.2,0.60984
2,10.4,0.62066
2,10.6,0.63133
2,10.8,0.64185
2,11,0.65222
2,11.2,0.66243
2,11.4,0.67249
2,11.6,0.6824
2,11.8,0.69216
2,12,0.70176
2,12.2,0.71121
2,12.4,0.72051
2,12.6,0.72966
2,12.8,0.73866
2,13,0.7475
2,13.2,0.75619
2,13.4,0.76473
2,13.6,0.77311
2,13.8,0.78135
2,14,0.78943
2,14.2,0.79736
2,14.4,0.80513
2,14.6,0.81276
2,14.8,0.82023
2,15,0.82755
2,15.2,0.83472
2,15.4,0.84173
2,15.6,0.8486
2,15.8,0.85531
2,16,0.86187
2,16.2,0.86827
2,16.4,0.87453
2,16.6,0.88063
2,16.8,0.88658
2,17,0.89237
2,17.2,0.89802
2,17.4,0.90351
2,17.6,0.90885
2,17.8,0.91404
2,18,0.91907
2,18.2,0.92396
2,18.4,0.92869
2,18.6,0.93327
2,18.8,0.93769
2,19,0.94197
2,19.2,0.94609
2,19.4,0.95006
2,19.6,0.95388
2,19.8,0.95754
2,20,0.96105
2,20.2,0.96441
2,20.4,0.96762
2,20.6,0.97068
2,20.8,0.97358
2,21,0.97633
2,21.2,0.97893
2,21.4,0.98138
2,21.6,0.98367
2,21.8,0.98582
2,22,0.98781
2,22.2,0.98964
2,22.4,0.99133
2,22.6,0.99286
2,22.8,0.99424
2,23,0.99547
2,23.2,0.99655
2,23.4,0.99747
2,23.6,0.99824
2,23.8,0.99886
2,24,0.99933
2,24.2,0.99964
2,24.4,0.99981
2,24.6,0.99982
2,24.8,0.99982
2,25,0.99982
2,25.2,0.99982
2,25.4,0.99982
2,25.6,0.99982
2,25.8,0.99982
2,26,0.99982
2,26.2,0.99982
2,26.4,0.99982
2,26.6,0.99982
2,26.8,0.99982
2,27,0.99982
2,27.2,0.99982
2,27.4,0.99982
2,27.6,0.99982
2,27.8,0.99982
2,28,0.99982
2,28.2,0.99982
2,28.4,0.99982
2,28.6,0.99982
2,28.8,0.99982
2,29,0.99982
2,29.2,0.99982
2,29.4,0.99982
2,29.6,0.99982
2,29.8,0.99982
2,30,0.99982
2,30.2,0.99982
2,30.4,0.99982
2,30.6,0.99982
2,30.8,0.99982
2,31,0.99982
2,31.2,0.99982
2,31.4,0.99982
2,31.6,0.99982
2,31.8,0.99982
2,32,0.99982
2,32.2,0.99982
2,32.4,0.99982
2,32.6,0.99982
2,32.8,0.99982
2,33,0.99982
2,33.2,0.99982
2,33.4,0.99982
2,33.6,0.99982
2,33.8,0.99982
2,34,0.99982
2,34.2,0.99982
2,34.4,0.99982
2,34.6,0.99982
2,34.8,0.99982
2,35,0.99982
2,35.2,0.99982
2,35.4,0.99982
2,35.6,0.99982
2,35.8,0.99982
2,36,0.99982
2,36.2,0.99982
2,36.4,0.99982
2,36.6,0.99982
2,36.8,0.99982
2,37,0.99982
2,37.2,0.99982
2,37.4,0.99982
2,37.6,0.99982
2,37.8,0.99982
2,38,0.99982
2,38.2,0.99982
2,38.4,0.99982
2,38.6,0.99982
2,38.8,0.99982
2,39,0.99982
2,39.2,0.99982
2,39.4,0.99982
2,39.6,0.99982
2,39.8,0.99982
2,40,0.99982
3,0,0
3,0.2,0
3,0.4,0
3,0.6,0
3,0.8,0
3,1,0
3,1.2,3.4e-4
3,1.4,0.00104
3,1.6,0.00209
3,1.8,0.00349
3,2,0.00524
3,2.2,0.00734
3,2.4,0.00978
3,2.6,0.01258
3,2.8,0.01573
3,3,0.01923
3,3.2,0.02307
3,3.4,0.02727
3,3.6,0.03181
3,3.8,0.03671
3,4,0.04195
3,4.2,0.04755
3,4.4,0.05349
3,4.6,0.05978
3,4.8,0.06643
3,5,0.07342
3,5.2,0.08076
3,5.4,0.08845
3,5.6,0.09649
3,5.8,0.10489
3,6,0.11363
3,6.2,0.12272
3,6.4,0.13216
3,6.6,0.14195
3,6.8,0.15209
3,7,0.16258
3,7.2,0.17342
3,7.4,0.1846
3,7.6,0.19614
3,7.8,0.20803
3,8,0.22027
3,8.2,0.23285
3,8.4,0.24579
3,8.6,0.25908
3,8.8,0.27271
3,9,0.2867
3,9.2,0.30103
3,9.4,0.31572
3,9.6,0.3305
3,9.8,0.34513
3,10,0.35959
3,10.2,0.37389
3,10.4,0.38803
3,10.6,0.40201
3,10.8,0.41583
3,11,0.42948
3,11.2,0.44298
3,11.4,0.45631
3,11.6,0.46948
3,11.8,0.48249
3,12,0.49534
3,12.2,0.50802
3,12.4,0.52055
3,12.6,0.53291
3,12.8,0.54511
3,13,0.55715
3,13.2,0.56903
3,13.4,0.58075
3,13.6,0.59231
3,13.8,0.6037
3,14,0.61493
3,14.2,0.62601
3,14.4,0.63691
3,14.6,0.64766
3,14.8,0.65825
3,15,0.66868
3,15.2,0.67894
3,15.4,0.68904
3,15.6,0.69898
3,15.8,0.70876
3,16,0.71838
3,16.2,0.72784
3,16.4,0.73713
3,16.6,0.74626
3,16.8,0.75523
3,17,0.76404
3,17.2,0.77269
3,17.4,0.78118
3,17.6,0.78951
3,17.8,0.79767
3,18,0.80567
3,18.2,0.81351
3,18.4,0.82119
3,18.6,0.82871
3,18.8,0.83607
3,19,0.84326
3,19.2,0.8503
3,19.4,0.85717
3,19.6,0.86388
3,19.8,0.87043
3,20,0.87682
3,20.2,0.88304
3,20.4,0.88911
3,20.6,0.89501
3,20.8,0.90075
3,21,0.90633
3,21.2,0.91175
3,21.4,0.91701
3,21.6,0.9221
3,21.8,0.92704
3,22,0.93181
3,22.2,0.93642
3,22.4,0.94087
3,22.6,0.94516
3,22.8,0.94928
3,23,0.95325
3,23.2,0.95705
3,23.4,0.96069
3,23.6,0.96417
3,23.8,0.96749
3,24,0.97065
3,24.2,0.97364
3,24.4,0.97648
3,24.6,0.97915
3,24.8,0.98166
3,25,0.98401
3,25.2,0.9862
3,25.4,0.98823
3,25.6,0.99009
3,25.8,0.9918
3,26,0.99334
3,26.2,0.99472
3,26.4,0.99594
3,26.6,0.997
3,26.8,0.99789
3,27,0.99863
3,27.2,0.9992
3,27.4,0.99961
3,27.6,0.99986
3,27.8,0.99995
3,28,0.99995
3,28.2,0.99995
3,28.4,0.99995
3,28.6,0.99995
3,28.8,0.99995
3,29,0.99995
3,29.2,0.99995
3,29.4,0.99995
3,29.6,0.99995
3,29.8,0.99995
3,30,0.99995
3,30.2,0.99995
3,30.4,0.99995
3,30.6,0.99995
3,30.8,0.99995
3,31,0.99995
3,31.2,0.99995
3,31.4,0.99995
3,31.6,0.99995
3,31.8,0.99995
3,32,0.99995
3,32.2,0.99995
3,32.4,0.99995
3,32.6,0.99995
3,32.8,0.99995
3,33,0.99995
3,33.2,0.99995
3,33.4,0.99995
3,33.6,0.99995
3,33.8,0.99995
3,34,0.99995
3,34.2,0.99995
3,34.4,0.99995
3,34.6,0.99995
3,34.8,0.99995
3,35,0.99995
3,35.2,0.99995
3,35.4,0.99995
3,35.6,0.99995
3,35.8,0.99995
3,36,0.99995
3,36.2,0.99995
3,36.4,0.99995
3,36.6,0.99995
3,36.8,0.99995
3,37,0.99995
3,37.2,0.99995
3,37.4,0.99995
3,37.6,0.99995
3,37.8,0.99995
3,38,0.99995
3,38.2,0.99995
3,38.4,0.99995
3,38.6,0.99995
3,38.8,0.99995
3,39,0.99995
3,39.2,0.99995
3,39.4,0.99995
3,39.6,0.99995
3,39.8,0.99995
3,40,0.99995
4,0,0
4,0.2,0
4,0.4,0
4,0.6,0
4,0.8,0
4,1,0
4,1.2,0.00227
4,1.4,0.00681
4,1.6,0.01363
4,1.8,0.02272
4,2,0.03408
4,2.2,0.04772
4,2.4,0.06363
4,2.6,0.08181
4,2.8,0.10226
4,3,0.12499
4,3.2,0.14998
4,3.4,0.17726
4,3.6,0.2068
4,3.8,0.23688
4,4,0.26639
4,4.2,0.29531
4,4.4,0.32365
4,4.6,0.35141
4,4.8,0.37858
4,5,0.40518
4,5.2,0.43119
4,5.4,0.45662
4,5.6,0.48147
4,5.8,0.50574
4,6,0.52942
4,6.2,0.55252
4,6.4,0.57505
4,6.6,0.59699
4,6.8,0.61834
4,7,0.63912
4,7.2,0.65931
4,7.4,0.67892
4,7.6,0.69796
4,7.8,0.7164
4,8,0.73427
4,8.2,0.75156
4,8.4,0.76826
4,8.6,0.78438
4,8.8,0.79992
4,9,0.81488
4,9.2,0.82925
4,9.4,0.84305
4,9.6,0.85626
4,9.8,0.86889
4,10,0.88094
4,10.2,0.8924
4,10.4,0.90329
4,10.6,0.91359
4,10.8,0.92331
4,11,0.93245
4,11.2,0.94101
4,11.4,0.94898
4,11.6,0.95638
4,11.8,0.96319
4,12,0.96942
4,12.2,0.97507
4,12.4,0.98013
4,12.6,0.98462
4,12.8,0.98852
4,13,0.99184
4,13.2,0.99458
4,13.4,0.99673
4,13.6,0.99831
4,13.8,0.9993
4,14,0.99971
4,14.2,0.99971
4,14.4,0.99971
4,14.6,0.99971
4,14.8,0.99971
4,15,0.99971
4,15.2,0.99971
4,15.4,0.99971
4,15.6,0.99971
4,15.8,0.99971
4,16,0.99971
4,16.2,0.99971
4,16.4,0.99971
4,16.6,0.99971
4,16.8,0.99971
4,17,0.99971
4,17.2,0.99971
4,17.4,0.99971
4,17.6,0.99971
4,17.8,0.99971
4,18,0.99971
4,18.2,0.99971
4,18.4,0.99971
4,18.6,0.99971
4,18.8,0.99971
4,19,0.99971
4,19.2,0.99971
4,19.4,0.99971
4,19.6,0.99971
4,19.8,0.99971
4,20,0.99971
4,20.2,0.99971
4,20.4,0.99971
4,20.6,0.99971
4,20.8,0.99971
4,21,0.99971
4,21.2,0.99971
4,21.4,0.99971
4,21.6,0.99971
4,21.8,0.99971
4,22,0.99971
4,22.2,0.99971
4,22.4,0.99971
4,22.6,0.99971
4,22.8,0.99971
4,23,0.99971
4,23.2,0.99971
4,23.4,0.99971
4,23.6,0.99971
4,23.8,0.99971
4,24,0.99971
4,24.2,0.99971
4,24.4,0.99971
4,24.6,0.99971
4,24.8,0.99971
4,25,0.99971
4,25.2,0.99971
4,25.4,0.99971
4,25.6,0.99971
4,25.8,0.99971
4,26,0.99971
4,26.2,0.99971
4,26.4,0.99971
4,26.6,0.99971
4,26.8,0.99971
4,27,0.99971
4,27.2,0.99971
4,27.4,0.99971
4,27.6,0.99971
4,27.8,0.99971
4,28,0.99971
4,28.2,0.99971
4,28.4,0.99971
4,28.6,0.99971
4,28.8,0.99971
4,29,0.99971
4,29.2,0.99971
4,29.4,0.99971
4,29.6,0.99971
4,29.8,0.99971
4,30,0.99971
4,30.2,0.99971
4,30.4,0.99971
4,30.6,0.99971
4,30.8,0.99971
4,31,0.99971
4,31.2,0.99971
4,31.4,0.99971
4,31.6,0.99971
4,31.8,0.99971
4,32,0.99971
4,32.2,0.99971
4,32.4,0.99971
4,32.6,0.99971
4,32.8,0.99971
4,33,0.99971
4,33.2,0.99971
4,33.4,0.99971
4,33.6,0.99971
4,33.8,0.99971
4,34,0.99971
4,34.2,0.99971
4,34.4,0.99971
4,34.6,0.99971
4,34.8,0.99971
4,35,0.99971
4,35.2,0.99971
4,35.4,0.99971
4,35.6,0.99971
4,35.8,0.99971
4,36,0.99971
4,36.2,0.99971
4,36.4,0.99971
4,36.6,0.99971
4,36.8,0.99971
4,37,0.99971
4,37.2,0.99971
4,37.4,0.99971
4,37.6,0.99971
4,37.8,0.99971
4,38,0.99971
4,38.2,0.99971
4,38.4,0.99971
4,38.6,0.99971
4,38.8,0.99971
4,39,0.99971
4,39.2,0.99971
4,39.4,0.99971
4,39.6,0.99971
4,39.8,0.99971
4,40,0.99971
5,0,0
5,0.2,0
5,0.4,0
5,0.6,0
5,0.8,0
5,1,0
5,1.2,0.0013
5,1.4,0.00392
5,1.6,0.00784
5,1.8,0.01307
5,2,0.0196
5,2.2,0.02745
5,2.4,0.0366
5,2.6,0.04705
5,2.8,0.05882
5,3,0.07189
5,3.2,0.08615
5,3.4,0.1003
5,3.6,0.11435
5,3.8,0.12828
5,4,0.1421
5,4.2,0.15581
5,4.4,0.16941
5,4.6,0.1829
5,4.8,0.19628
5,5,0.20955
5,5.2,0.22271
5,5.4,0.23576
5,5.6,0.2487
5,5.8,0.26152
5,6,0.27424
5,6.2,0.28685
5,6.4,0.29934
5,6.6,0.31173
5,6.8,0.324
5,7,0.33617
5,7.2,0.34822
5,7.4,0.36017
5,7.6,0.372
5,7.8,0.38372
5,8,0.39534
5,8.2,0.40684
5,8.4,0.41823
5,8.6,0.42951
5,8.8,0.44068
5,9,0.45174
5,9.2,0.46269
5,9.4,0.47353
5,9.6,0.48426
5,9.8,0.49488
5,10,0.50538
5,10.2,0.51578
5,10.4,0.52607
5,10.6,0.53625
5,10.8,0.54631
5,11,0.55627
5,11.2,0.56611
5,11.4,0.57585
5,11.6,0.58547
5,11.8,0.59498
5,12,0.60439
5,12.2,0.61368
5,12.4,0.62286
5,12.6,0.63194
5,12.8,0.6409
5,13,0.64975
5,13.2,0.65849
5,13.4,0.66712
5,13.6,0.67564
5,13.8,0.68405
5,14,0.69235
5,14.2,0.70053
5,14.4,0.70861
5,14.6,0.71658
5,14.8,0.72444
5,15,0.73218
5,15.2,0.73982
5,15.4,0.74734
5,15.6,0.75476
5,15.8,0.76206
5,16,0.76926
5,16.2,0.77634
5,16.4,0.78331
5,16.6,0.79018
5,16.8,0.79693
5,17,0.80357
5,17.2,0.8101
5,17.4,0.81652
5,17.6,0.82283
5,17.8,0.82903
5,18,0.83512
5,18.2,0.8411
5,18.4,0.84697
5,18.6,0.85273
5,18.8,0.85838
5,19,0.86392
5,19.2,0.86934
5,19.4,0.87466
5,19.6,0.87986
5,19.8,0.88496
5,20,0.88995
5,20.2,0.89482
5,20.4,0.89958
5,20.6,0.90424
5,20.8,0.90878
5,21,0.91321
5,21.2,0.91754
5,21.4,0.92175
5,21.6,0.92585
5,21.8,0.92984
5,22,0.93372
5,22.2,0.93749
5,22.4,0.94115
5,22.6,0.9447
5,22.8,0.94814
5,23,0.95147
5,23.2,0.95468
5,23.4,0.95779
5,23.6,0.96079
5,23.8,0.96367
5,24,0.96645
5,24.2,0.96911
5,24.4,0.97167
5,24.6,0.97411
5,24.8,0.97645
5,25,0.97867
5,25.2,0.98079
5,25.4,0.98279
5,25.6,0.98468
5,25.8,0.98646
5,26,0.98813
5,26.2,0.98969
5,26.4,0.99114
5,26.6,0.99248
5,26.8,0.99371
5,27,0.99483
5,27.2,0.99584
5,27.4,0.99674
5,27.6,0.99753
5,27.8,0.9982
5,28,0.99877
5,28.2,0.99923
5,28.4,0.99957
5,28.6,0.99981
5,28.8,0.99993
5,29,0.99995
5,29.2,0.99995
5,29.4,0.99995
5,29.6,0.99995
5,29.8,0.99995
5,30,0.99995
5,30.2,0.99995
5,30.4,0.99995
5,30.6,0.99995
5,30.8,0.99995
5,31,0.99995
5,31.2,0.99995
5,31.4,0.99995
5,31.6,0.99995
5,31.8,0.99995
5,32,0.99995
5,32.2,0.99995
5,32.4,0.99995
5,32.6,0.99995
5,32.8,0.99995
5,33,0.99995
5,33.2,0.99995
5,33.4,0.99995
5,33.6,0.99995
5,33.8,0.99995
5,34,0.99995
5,34.2,0.99995
5,34.4,0.99995
5,34.6,0.99995
5,34.8,0.99995
5,35,0.99995
5,35.2,0.99995
5,35.4,0.99995
5,35.6,0.99995
5,35.8,0.99995
5,36,0.99995
5,36.2,0.99995
5,36.4,0.99995
5,36.6,0.99995
5,36.8,0.99995
5,37,0.99995
5,37.2,0.99995
5,37.4,0.99995
5,37.6,0.99995
5,37.8,0.99995
5,38,0.99995
5,38.2,0.99995
5,38.4,0.99995
5,38.6,0.99995
5,38.8,0.99995
5,39,0.99995
5,39.2,0.99995
5,39.4,0.99995
5,39.6,0.99995
5,39.8,0.99995
5,40,0.99995
6,0,0
6,0.2,0
6,0.4,0
6,0.6,0
6,0.8,0
6,1,0
6,1.2,4.7e-4
6,1.4,0.00141
6,1.6,0.00283
6,1.8,0.00473
6,2,0.00709
6,2.2,0.00993
6,2.4,0.01325
6,2.6,0.01703
6,2.8,0.02129
6,3,0.02602
6,3.2,0.03123
6,3.4,0.03691
6,3.6,0.04306
6,3.8,0.04969
6,4,0.05678
6,4.2,0.06436
6,4.4,0.0724
6,4.6,0.08092
6,4.8,0.08991
6,5,0.09938
6,5.2,0.10931
6,5.4,0.11973
6,5.6,0.13061
6,5.8,0.14197
6,6,0.1538
6,6.2,0.1661
6,6.4,0.17888
6,6.6,0.19213
6,6.8,0.20586
6,7,0.22005
6,7.2,0.23472
6,7.4,0.24936
6,7.6,0.26385
6,7.8,0.2782
6,8,0.29242
6,8.2,0.30649
6,8.4,0.32041
6,8.6,0.3342
6,8.8,0.34785
6,9,0.36135
6,9.2,0.37472
6,9.4,0.38794
6,9.6,0.40102
6,9.8,0.41396
6,10,0.42676
6,10.2,0.43941
6,10.4,0.45193
6,10.6,0.4643
6,10.8,0.47654
6,11,0.48863
6,11.2,0.50058
6,11.4,0.51239
6,11.6,0.52405
6,11.8,0.53558
6,12,0.54697
6,12.2,0.55821
6,12.4,0.56931
6,12.6,0.58027
6,12.8,0.59109
6,13,0.60177
6,13.2,0.61231
6,13.4,0.62271
6,13.6,0.63296
6,13.8,0.64307
6,14,0.65305
6,14.2,0.66288
6,14.4,0.67257
6,14.6,0.68211
6,14.8,0.69152
6,15,0.70079
6,15.2,0.70991
6,15.4,0.71889
6,15.6,0.72774
6,15.8,0.73644
6,16,0.745
6,16.2,0.75341
6,16.4,0.76169
6,16.6,0.76983
6,16.8,0.77782
6,17,0.78567
6,17.2,0.79338
6,17.4,0.80095
6,17.6,0.80838
6,17.8,0.81567
6,18,0.82282
6,18.2,0.82982
6,18.4,0.83668
6,18.6,0.84341
6,18.8,0.84999
6,19,0.85643
6,19.2,0.86273
6,19.4,0.86888
6,19.6,0.8749
6,19.8,0.88077
6,20,0.88651
6,20.2,0.8921
6,20.4,0.89755
6,20.6,0.90286
6,20.8,0.90803
6,21,0.91305
6,21.2,0.91794
6,21.4,0.92268
6,21.6,0.92728
6,21.8,0.93175
6,22,0.93607
6,22.2,0.94025
6,22.4,0.94428
6,22.6,0.94818
6,22.8,0.95193
6,23,0.95555
6,23.2,0.95902
6,23.4,0.96235
6,23.6,0.96554
6,23.8,0.96859
6,24,0.9715
6,24.2,0.97426
6,24.4,0.97689
6,24.6,0.97937
6,24.8,0.98171
6,25,0.98391
6,25.2,0.98597
6,25.4,0.98789
6,25.6,0.98967
6,25.8,0.9913
6,26,0.9928
6,26.2,0.99415
6,26.4,0.99536
6,26.6,0.99643
6,26.8,0.99736
6,27,0.99815
6,27.2,0.9988
6,27.4,0.9993
6,27.6,0.99966
6,27.8,0.99989
6,28,0.99997
6,28.2,0.99997
6,28.4,0.99997
6,28.6,0.99997
6,28.8,0.99997
6,29,0.99997
6,29.2,0.99997
6,29.4,0.99997
6,29.6,0.99997
6,29.8,0.99997
6,30,0.99997
6,30.2,0.99997
6,30.4,0.99997
6,30.6,0.99997
6,30.8,0.99997
6,31,0.99997
6,31.2,0.99997
6,31.4,0.99997
6,31.6,0.99997
6,31.8,0.99997
6,32,0.99997
6,32.2,0.99997
6,32.4,0.99997
6,32.6,0.99997
6,32.8,0.99997
6,33,0.99997
6,33.2,0.99997
6,33.4,0.99997
6,33.6,0.99997
6,33.8,0.99997
6,34,0.99997
6,34.2,0.99997
6,34.4,0.99997
